,Client,Municipal Decision,Subject,Position,Narrative,City Official
26,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Noel Gallo, Council Member, District 5"
27,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Larry Reid, Council Member, District 7"
28,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Nikki Fortunato Bas, Council Member, District 2"
29,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Noel Gallo, Council Member, District 5"
30,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Lynette Gibson McElhaney, Council Member, District 3"
31,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Dan Kalb, Council Member, District 1"
32,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Rebecca Kaplan, Council Member, At-Large"
33,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Barbara Parker, City Attorney"
34,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Larry Reid, Council Member, District 7"
35,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Libby Schaaf, Mayor"
36,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Loren Taylor, Council Member, District 6"
37,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Sheng Thao, Council Member, District 4"
38,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Ces Butner, Board of Port"
39,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Andreas Cluver, Board of Port"
40,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Amanda Monchamp, City Planning Commission"
41,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Barbara Leslie, Board of Port"
42,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Arabella Martinez, Board of Port"
43,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Michael Colbruno, Board of Port"
44,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Joan Story, Board of Port"
45,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Nischit Hegde, City Planning Commission"
46,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Sahar Shirazi, City Planning Commission"
47,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Clark Manus, City Planning Commission"
48,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Tom Limon, City Planning Commission"
49,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,City Administrator's Office - Assistant City Administrator
50,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Oakland Parks, Recreation and Youth Development - Director of Parks & Recreation"
51,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,OAKLAND - ALAMEDA COLISEUM JPA COMMISSION - City Planning Commission
52,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,Department of Transportation - Director of Transportation
53,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,Race and Equity Department - Director of Race and Equity
54,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,"Oakland Public Works - Assistant Director, Public Works Agency"
55,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,City Administrator's Office - City Administrator
56,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,City Administrator's Office - Deputy City Administrator - Real Estate & Major Projects
57,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,Office of the City Attorney - City Attorney
58,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,Planning & Building Department - Director of Planning & Building
59,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,City Administrator's Office - Deputy City Administrator
60,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,"Office of the City Attorney - City Attorney, Assistant"
61,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,"Office of the City Attorney - Deputy City Attorney IV, Senior"
62,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,Finance Department - Director of Finance
63,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"City Council - Communications Director, Council District 4"
64,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"City Council - Constituent Liaison, Council District 1"
65,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,"City Council - Chief of Staff, Council District 2"
66,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Nikki Fortunato Bas, Council Member, District 2"
67,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Noel Gallo, Council Member, District 5"
68,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Lynette Gibson McElhaney, Council Member, District 3"
69,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,"Dan Kalb, Council Member, District 1"
70,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Rebecca Kaplan, Council Member, At-Large"
71,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Barbara Parker, City Attorney"
72,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,"Larry Reid, Council Member, District 7"
73,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Libby Schaaf, Mayor"
74,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Loren Taylor, Council Member, District 6"
75,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,"Sheng Thao, Council Member, District 4"
76,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Ces Butner, Board of Port"
77,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Andreas Cluver, Board of Port"
78,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Amanda Monchamp, City Planning Commission"
79,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Barbara Leslie, Board of Port"
80,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Arabella Martinez, Board of Port"
81,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Michael Colbruno, Board of Port"
82,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Joan Story, Board of Port"
83,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Nischit Hegde, City Planning Commission"
84,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,"Sahar Shirazi, City Planning Commission"
85,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Clark Manus, City Planning Commission"
86,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Tom Limon, City Planning Commission"
87,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,City Administrator's Office - Assistant City Administrator
88,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Oakland Parks, Recreation and Youth Development - Director of Parks & Recreation"
89,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,OAKLAND - ALAMEDA COLISEUM JPA COMMISSION - City Planning Commission
90,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,Department of Transportation - Director of Transportation
91,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,Race and Equity Department - Director of Race and Equity
92,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Oakland Public Works - Assistant Director, Public Works Agency"
93,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,City Administrator's Office - City Administrator
94,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,City Administrator's Office - Deputy City Administrator - Real Estate & Major Projects
95,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,Office of the City Attorney - City Attorney
96,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,Planning & Building Department - Director of Planning & Building
97,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,City Administrator's Office - Deputy City Administrator
98,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,"Office of the City Attorney - City Attorney, Assistant"
99,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,"Office of the City Attorney - Deputy City Attorney IV, Senior"
100,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,Finance Department - Director of Finance
101,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,"City Council - Communications Director, Council District 4"
102,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"City Council - Constituent Liaison, Council District 1"
103,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"City Council - Chief of Staff, Council District 2"
104,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,Office of the Mayor - Policy Director of Mobility and Inter Agency Relations
105,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,Economic & Workforce Development Department - Project Manager III
106,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,Office of the Mayor - Director of Special Projects and Mayoral Liaison Economic & Workforce Development Department
107,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,Department of Transportation - Transportation Planner
108,Kaiser Permanente,"Ordinance, Policy, or Other Legislative Matter",Health,Policy development,Emergency Paid Sick Leave ordinance language.,"Dan Kalb, Council Member, District 1"
109,Kaiser Permanente,"Ordinance, Policy, or Other Legislative Matter",Health,Policy development,Emergency Paid Sick Leave ordinance language.,"Loren Taylor, Council Member, District 6"
110,Kaiser Permanente,"Ordinance, Policy, or Other Legislative Matter",Health,Policy development,Emergency Paid Sick Leave ordinance language.,"Sheng Thao, Council Member, District 4"
111,Kaiser Permanente,"Ordinance, Policy, or Other Legislative Matter",Health,Policy development,Emergency Paid Sick Leave ordinance language.,"Nikki Fortunato Bas, Council Member, District 2"
112,Kaiser Permanente,"Ordinance, Policy, or Other Legislative Matter",Health,Policy development,Emergency Paid Sick Leave ordinance language.,"Noel Gallo, Council Member, District 5"
113,Kaiser Permanente,"Ordinance, Policy, or Other Legislative Matter",Health,Policy development,Emergency Paid Sick Leave ordinance language.,"Rebecca Kaplan, Council Member, At-Large"
114,Kaiser Permanente,"Ordinance, Policy, or Other Legislative Matter",Health,Policy development,Paid Sick Leave Ordinance,"City Council - Council Member, District 7"
115,Kaiser Permanente,"Ordinance, Policy, or Other Legislative Matter",Health,Policy development,Sick Leave Ordinance,"City Council - Council Member, District 6"
116,Kaiser Permanente,"Ordinance, Policy, or Other Legislative Matter",Health,Policy development,Sick Leave Ordinance,"City Council - Council Member, District 3"
117,Kaiser Permanente,"Ordinance, Policy, or Other Legislative Matter",Health,Policy development,Sick Leave Ordinance,"City Council - Council Member, District 2"
118,Kaiser Permanente,"Ordinance, Policy, or Other Legislative Matter",Health,Policy development,Sick Leave Ordinance,"City Council - Council Member, District 1"
119,Pacific Gas and Electric Company,"Ordinance, Policy, or Other Legislative Matter",Public Utilities,Oppose,Opposition of Business License Tax Increase,"Nikki Fortunato Bas, Council Member, District 2"
120,Pacific Gas and Electric Company,"Ordinance, Policy, or Other Legislative Matter",Public Utilities,Oppose,Opposition of Business License Tax Increase,"Larry Reid, Council Member, District 7"
121,Pacific Gas and Electric Company,"Ordinance, Policy, or Other Legislative Matter",Public Utilities,Oppose,Opposition of Business License Tax Increase,"Noel Gallo, Council Member, District 5"
122,Pacific Gas and Electric Company,"Ordinance, Policy, or Other Legislative Matter",Public Utilities,Oppose,Opposition of Business License Tax Increase,"Loren Taylor, Council Member, District 6"
123,Pacific Gas and Electric Company,"Ordinance, Policy, or Other Legislative Matter",Public Utilities,Oppose,Opposition of Business License Tax Increase,"Lynette Gibson McElhaney, Council Member, District 3"
124,Kate O'Hara,"Ordinance, Policy, or Other Legislative Matter",Other,Support,Support for the implementation of Oakland's COVID-19 Emergency Paid Sick Leave an it's implementation.,"Sheng Thao, Council Member, District 4"
125,Kate O'Hara,"Other Permits, Administrative Decisions",Government Administration,Informational meeting,Meeting with City Administrator to discuss the the development of the structure of the Department of Workplace and Employment Standards (DWES),City Administrator's Office - City Administrator
126,"Verizon Communications, Inc. and its Affiliates","Ordinance, Policy, or Other Legislative Matter",Other,Support,Master Lease Agreement - Support for modification,Economic & Workforce Development Department - Project Manager III
127,East Bay Alliance for a Sustainable Economy,"Ordinance, Policy, or Other Legislative Matter",Government Administration,Policy development,Implementation of Department of Workplace and Employment Standards,"Office of the City Attorney - Deputy City Attorney IV, Senior"
128,East Bay Alliance for a Sustainable Economy,"Ordinance, Policy, or Other Legislative Matter",Government Administration,Policy development,Implementation of Department of Workplace and Employment Standards,"Nikki Fortunato Bas, Council Member, District 2"
129,East Bay Alliance for a Sustainable Economy,Public Contract,Economic Development,Informational meeting,Information regarding City's potential sale of Oakland Coliseum land,City Administrator's Office - Deputy City Administrator - Real Estate & Major Projects
130,Kate O'Hara,"Ordinance, Policy, or Other Legislative Matter",Other,Support,Emailed Sheng Thao's staff regarding City Attorney FAQ interpreting the City's emergency sick leave ordinance.,"Sheng Thao, Council Member, District 4"
131,Elizabeth Velten,"Ordinance, Policy, or Other Legislative Matter",Health,Support,Updates to Tobacco Retail License and Flavored Tobacco Sales Restriction,"City Council - Policy Director, Council Member At Large"
132,"Revel Transit, Inc. Revel Transit, Inc.",Information only,Transportation,Informational meeting,Proposal/Offer to assist with food delivery to seniors & others impacted by COVID.,Economic & Workforce Development Department - Urban Economic Analyst
133,"Cisco Systems, Inc.","Other Permits, Administrative Decisions",Public Utilities,Support,Public WiFi,"Rebecca Kaplan, Council Member, At-Large"
134,"Lyft, Inc.",Public Contract,Transportation,Support,Bike share franchise agreement.,Office of the Mayor - Director of Transportation Policy
135,"Lyft, Inc.","Ordinance, Policy, or Other Legislative Matter",Economic Development,Informational meeting,Navigation of the shelter in place order.,Office of the Mayor - Director of Transportation Policy
136,Mill Creek Residential,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,Building permits and navigating construction under new shelter in place orders.,Planning & Building Department - Director of Planning & Building
137,Mill Creek Residential,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,Building permits and navigating construction under new shelter in place orders.,Office of the Mayor - Director of Housing
138,One Medical,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1955 Broadway conditional use permit,"Planning & Building Department - Manager, Zoning"
139,One Medical,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1955 Broadway conditional use permit,"Planning & Building Department - Supervisor, Zoning"
140,One Medical,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1955 Broadway conditional use permit,"Planning & Building Department - Planner III, Historic Preservation"
141,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Rebecca Kaplan, Council Member, At-Large"
142,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Dan Kalb, Council Member, District 1"
143,"Cisco Systems, Inc.","Other Permits, Administrative Decisions",Public Utilities,Support,Public WiFi,"Rebecca Kaplan, Council Member, At-Large"
144,"Lyft, Inc.",Public Contract,Transportation,Support,Bike share franchise agreement.,Office of the Mayor - Director of Transportation Policy
145,"Lyft, Inc.","Ordinance, Policy, or Other Legislative Matter",Economic Development,Informational meeting,Navigation of the shelter in place order.,Office of the Mayor - Director of Transportation Policy
146,Mill Creek Residential,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,Building permits and navigating construction under new shelter in place orders.,Planning & Building Department - Director of Planning & Building
147,Mill Creek Residential,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,Building permits and navigating construction under new shelter in place orders.,Office of the Mayor - Director of Housing
148,One Medical,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1955 Broadway conditional use permit,"Planning & Building Department - Manager, Zoning"
149,One Medical,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1955 Broadway conditional use permit,"Planning & Building Department - Supervisor, Zoning"
150,One Medical,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1955 Broadway conditional use permit,"Planning & Building Department - Planner III, Historic Preservation"
151,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Rebecca Kaplan, Council Member, At-Large"
152,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Dan Kalb, Council Member, District 1"
153,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Nikki Fortunato Bas, Council Member, District 2"
154,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Lynette Gibson McElhaney, Council Member, District 3"
