,Client,Municipal Decision,Subject,Position,Narrative,office_name,official_name
47,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,City Planning Commission,Clark Manus
48,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,City Planning Commission,Tom Limon
49,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,City Administrator's Office - Assistant City Administrator,
50,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,Recreation and Youth Development - Director of Parks & Recreation,Oakland Parks
51,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,OAKLAND - ALAMEDA COLISEUM JPA COMMISSION - City Planning Commission,
52,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,Department of Transportation - Director of Transportation,
53,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,Race and Equity Department - Director of Race and Equity,
54,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,Public Works Agency,Oakland Public Works - Assistant Director
55,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,City Administrator's Office - City Administrator,
56,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,City Administrator's Office - Deputy City Administrator - Real Estate & Major Projects,
57,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,Office of the City Attorney - City Attorney,
58,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,Planning & Building Department - Director of Planning & Building,
59,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,City Administrator's Office - Deputy City Administrator,
60,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,Assistant,Office of the City Attorney - City Attorney
61,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,Senior,Office of the City Attorney - Deputy City Attorney IV
62,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,Finance Department - Director of Finance,
63,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,Council District 4,City Council - Communications Director
64,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,Council District 1,City Council - Constituent Liaison
65,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,Council District 2,City Council - Chief of Staff
66,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Council Member, District 2",Nikki Fortunato Bas
67,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Council Member, District 5",Noel Gallo
68,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Council Member, District 3",Lynette Gibson McElhaney
69,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,"Council Member, District 1",Dan Kalb
70,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Council Member, At-Large",Rebecca Kaplan
71,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,City Attorney,Barbara Parker
72,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,"Council Member, District 7",Larry Reid
73,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,Mayor,Libby Schaaf
74,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,"Council Member, District 6",Loren Taylor
75,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,"Council Member, District 4",Sheng Thao
76,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,Board of Port,Ces Butner
77,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,Board of Port,Andreas Cluver
78,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,City Planning Commission,Amanda Monchamp
79,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,Board of Port,Barbara Leslie
80,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,Board of Port,Arabella Martinez
81,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,Board of Port,Michael Colbruno
82,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,Board of Port,Joan Story
83,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,City Planning Commission,Nischit Hegde
84,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,City Planning Commission,Sahar Shirazi
85,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,City Planning Commission,Clark Manus
86,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,City Planning Commission,Tom Limon
87,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,City Administrator's Office - Assistant City Administrator,
88,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,Recreation and Youth Development - Director of Parks & Recreation,Oakland Parks
89,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,OAKLAND - ALAMEDA COLISEUM JPA COMMISSION - City Planning Commission,
90,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,Department of Transportation - Director of Transportation,
91,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,Race and Equity Department - Director of Race and Equity,
92,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,Public Works Agency,Oakland Public Works - Assistant Director
93,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,City Administrator's Office - City Administrator,
94,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,City Administrator's Office - Deputy City Administrator - Real Estate & Major Projects,
95,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,Office of the City Attorney - City Attorney,
96,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,Planning & Building Department - Director of Planning & Building,
97,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,City Administrator's Office - Deputy City Administrator,
98,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,Assistant,Office of the City Attorney - City Attorney
99,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,Senior,Office of the City Attorney - Deputy City Attorney IV
100,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,Finance Department - Director of Finance,
101,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,Council District 4,City Council - Communications Director
102,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,Council District 1,City Council - Constituent Liaison
103,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,Council District 2,City Council - Chief of Staff
104,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,Office of the Mayor - Policy Director of Mobility and Inter Agency Relations,
105,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site,Economic & Workforce Development Department - Project Manager III,
106,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,Office of the Mayor - Director of Special Projects and Mayoral Liaison Economic & Workforce Development Department,
107,Oakland Athletics,"Land Use (Permit, Zoning, Study)",Other,Support,Support the development of the new ballpark and mixed use development at Howard Terminal; support acquisition of the Coliseum site.,Department of Transportation - Transportation Planner,
108,Kaiser Permanente,"Ordinance, Policy, or Other Legislative Matter",Health,Policy development,Emergency Paid Sick Leave ordinance language.,"Council Member, District 1",Dan Kalb
109,Kaiser Permanente,"Ordinance, Policy, or Other Legislative Matter",Health,Policy development,Emergency Paid Sick Leave ordinance language.,"Council Member, District 6",Loren Taylor
110,Kaiser Permanente,"Ordinance, Policy, or Other Legislative Matter",Health,Policy development,Emergency Paid Sick Leave ordinance language.,"Council Member, District 4",Sheng Thao
111,Kaiser Permanente,"Ordinance, Policy, or Other Legislative Matter",Health,Policy development,Emergency Paid Sick Leave ordinance language.,"Council Member, District 2",Nikki Fortunato Bas
112,Kaiser Permanente,"Ordinance, Policy, or Other Legislative Matter",Health,Policy development,Emergency Paid Sick Leave ordinance language.,"Council Member, District 5",Noel Gallo
113,Kaiser Permanente,"Ordinance, Policy, or Other Legislative Matter",Health,Policy development,Emergency Paid Sick Leave ordinance language.,"Council Member, At-Large",Rebecca Kaplan
114,Kaiser Permanente,"Ordinance, Policy, or Other Legislative Matter",Health,Policy development,Paid Sick Leave Ordinance,District 7,City Council - Council Member
115,Kaiser Permanente,"Ordinance, Policy, or Other Legislative Matter",Health,Policy development,Sick Leave Ordinance,District 6,City Council - Council Member
116,Kaiser Permanente,"Ordinance, Policy, or Other Legislative Matter",Health,Policy development,Sick Leave Ordinance,District 3,City Council - Council Member
117,Kaiser Permanente,"Ordinance, Policy, or Other Legislative Matter",Health,Policy development,Sick Leave Ordinance,District 2,City Council - Council Member
118,Kaiser Permanente,"Ordinance, Policy, or Other Legislative Matter",Health,Policy development,Sick Leave Ordinance,District 1,City Council - Council Member
119,Pacific Gas and Electric Company,"Ordinance, Policy, or Other Legislative Matter",Public Utilities,Oppose,Opposition of Business License Tax Increase,"Council Member, District 2",Nikki Fortunato Bas
120,Pacific Gas and Electric Company,"Ordinance, Policy, or Other Legislative Matter",Public Utilities,Oppose,Opposition of Business License Tax Increase,"Council Member, District 7",Larry Reid
121,Pacific Gas and Electric Company,"Ordinance, Policy, or Other Legislative Matter",Public Utilities,Oppose,Opposition of Business License Tax Increase,"Council Member, District 5",Noel Gallo
122,Pacific Gas and Electric Company,"Ordinance, Policy, or Other Legislative Matter",Public Utilities,Oppose,Opposition of Business License Tax Increase,"Council Member, District 6",Loren Taylor
123,Pacific Gas and Electric Company,"Ordinance, Policy, or Other Legislative Matter",Public Utilities,Oppose,Opposition of Business License Tax Increase,"Council Member, District 3",Lynette Gibson McElhaney
124,Kate O'Hara,"Ordinance, Policy, or Other Legislative Matter",Other,Support,Support for the implementation of Oakland's COVID-19 Emergency Paid Sick Leave an it's implementation.,"Council Member, District 4",Sheng Thao
125,Kate O'Hara,"Other Permits, Administrative Decisions",Government Administration,Informational meeting,Meeting with City Administrator to discuss the the development of the structure of the Department of Workplace and Employment Standards (DWES),City Administrator's Office - City Administrator,
126,"Verizon Communications, Inc. and its Affiliates","Ordinance, Policy, or Other Legislative Matter",Other,Support,Master Lease Agreement - Support for modification,Economic & Workforce Development Department - Project Manager III,
127,East Bay Alliance for a Sustainable Economy,"Ordinance, Policy, or Other Legislative Matter",Government Administration,Policy development,Implementation of Department of Workplace and Employment Standards,Senior,Office of the City Attorney - Deputy City Attorney IV
128,East Bay Alliance for a Sustainable Economy,"Ordinance, Policy, or Other Legislative Matter",Government Administration,Policy development,Implementation of Department of Workplace and Employment Standards,"Council Member, District 2",Nikki Fortunato Bas
129,East Bay Alliance for a Sustainable Economy,Public Contract,Economic Development,Informational meeting,Information regarding City's potential sale of Oakland Coliseum land,City Administrator's Office - Deputy City Administrator - Real Estate & Major Projects,
130,Kate O'Hara,"Ordinance, Policy, or Other Legislative Matter",Other,Support,Emailed Sheng Thao's staff regarding City Attorney FAQ interpreting the City's emergency sick leave ordinance.,"Council Member, District 4",Sheng Thao
131,Elizabeth Velten,"Ordinance, Policy, or Other Legislative Matter",Health,Support,Updates to Tobacco Retail License and Flavored Tobacco Sales Restriction,Council Member At Large,City Council - Policy Director
132,"Revel Transit, Inc. Revel Transit, Inc.",Information only,Transportation,Informational meeting,Proposal/Offer to assist with food delivery to seniors & others impacted by COVID.,Economic & Workforce Development Department - Urban Economic Analyst,
133,"Cisco Systems, Inc.","Other Permits, Administrative Decisions",Public Utilities,Support,Public WiFi,"Council Member, At-Large",Rebecca Kaplan
134,"Lyft, Inc.",Public Contract,Transportation,Support,Bike share franchise agreement.,Office of the Mayor - Director of Transportation Policy,
135,"Lyft, Inc.","Ordinance, Policy, or Other Legislative Matter",Economic Development,Informational meeting,Navigation of the shelter in place order.,Office of the Mayor - Director of Transportation Policy,
136,Mill Creek Residential,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,Building permits and navigating construction under new shelter in place orders.,Planning & Building Department - Director of Planning & Building,
137,Mill Creek Residential,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,Building permits and navigating construction under new shelter in place orders.,Office of the Mayor - Director of Housing,
138,One Medical,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1955 Broadway conditional use permit,Zoning,Planning & Building Department - Manager
139,One Medical,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1955 Broadway conditional use permit,Zoning,Planning & Building Department - Supervisor
140,One Medical,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1955 Broadway conditional use permit,Historic Preservation,Planning & Building Department - Planner III
141,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Council Member, At-Large",Rebecca Kaplan
142,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Council Member, District 1",Dan Kalb
143,"Cisco Systems, Inc.","Other Permits, Administrative Decisions",Public Utilities,Support,Public WiFi,"Council Member, At-Large",Rebecca Kaplan
144,"Lyft, Inc.",Public Contract,Transportation,Support,Bike share franchise agreement.,Office of the Mayor - Director of Transportation Policy,
145,"Lyft, Inc.","Ordinance, Policy, or Other Legislative Matter",Economic Development,Informational meeting,Navigation of the shelter in place order.,Office of the Mayor - Director of Transportation Policy,
146,Mill Creek Residential,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,Building permits and navigating construction under new shelter in place orders.,Planning & Building Department - Director of Planning & Building,
147,Mill Creek Residential,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,Building permits and navigating construction under new shelter in place orders.,Office of the Mayor - Director of Housing,
148,One Medical,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1955 Broadway conditional use permit,Zoning,Planning & Building Department - Manager
149,One Medical,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1955 Broadway conditional use permit,Zoning,Planning & Building Department - Supervisor
150,One Medical,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,1955 Broadway conditional use permit,Historic Preservation,Planning & Building Department - Planner III
151,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Council Member, At-Large",Rebecca Kaplan
152,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Council Member, District 1",Dan Kalb
153,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Council Member, District 2",Nikki Fortunato Bas
154,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Council Member, District 3",Lynette Gibson McElhaney
155,Strada Investment Group,"Land Use (Permit, Zoning, Study)",Planning and Building Permits,Support,"City Center T-5/6 Project (Clay Street, 11th, and 12th Streets)","Council Member, District 4",Sheng Thao
